method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Direct-output selector,1038,component_dropout,0.206825358,0.0825683594,0.690887451,0.527752571,1,0,0,0.644216691
Input,1039,component_dropout,0.0678641411,0.00103759766,0.997525113,0.995062446,1,0,0,0.977893368
Validation best,1039,component_dropout,0.0678641411,0.00103759766,0.997525113,0.995062446,1,0,0,0.977893368
Action-coordinate selector,1039,component_dropout,0.0678641411,0.00103759766,0.997525113,0.995062446,1,0,0,0.977893368
Direct-output selector,1039,component_dropout,0.0684010809,0.00150146484,0.996414697,0.992856921,1,0,0,0.977893368
Input,1044,component_dropout,0.0777221337,0.0101318359,0.97742725,0.955851064,1,0,0,0.925659472
Validation best,1044,component_dropout,0.0777221337,0.0101318359,0.97742725,0.955851064,1,0,0,0.925659472
Action-coordinate selector,1044,component_dropout,0.0777221337,0.0101318359,0.97742725,0.955851064,1,0,0,0.925659472
Direct-output selector,1044,component_dropout,0.0782542011,0.0106201172,0.976341223,0.953782335,1,0,0,0.924363525
Input,1056,component_dropout,0.074188567,0.00610351562,0.984247007,0.96898263,1,0,0,0.93544458
Validation best,1056,component_dropout,0.074188567,0.00610351562,0.984247007,0.96898263,1,0,0,0.93544458
Action-coordinate selector,1056,component_dropout,0.074188567,0.00610351562,0.984247007,0.96898263,1,0,0,0.93544458
Direct-output selector,1056,component_dropout,0.0751564253,0.00688476562,0.982217986,0.965064009,1,0,0,0.933613649
Input,1072,component_dropout,0.0800902503,0.0161132812,0.974497682,0.950263753,1,0,0,0.926356589
Validation best,1072,component_dropout,0.0800902503,0.0161132812,0.974497682,0.950263753,1,0,0,0.926356589
Action-coordinate selector,1072,component_dropout,0.0800902503,0.0161132812,0.974497682,0.950263753,1,0,0,0.926356589
Direct-output selector,1072,component_dropout,0.0815915815,0.0179443359,0.971659881,0.94488189,1,0,0,0.911377313
Input,1074,component_dropout,0.0928896808,0.0239868164,0.946435873,0.898318241,1,0,0,0.880769231
Validation best,1074,component_dropout,0.226350596,0.0241088867,0.946177953,0.897853633,1,2,0,0.87753134
Action-coordinate selector,1074,component_dropout,0.226350596,0.0241088867,0.946177953,0.897853633,1,2,0,0.87753134
Direct-output selector,1074,component_dropout,0.228119948,0.02578125,0.942590754,0.891424992,1,2,0,0.86251796
Input,1083,component_dropout,0.0460491809,0.00408935547,0.986921726,0.974181118,1,0,0,0.936915888
Validation best,1083,component_dropout,0.0460491809,0.00408935547,0.986921726,0.974181118,1,0,0,0.936915888
Action-coordinate selector,1083,component_dropout,0.0460491809,0.00408935547,0.986921726,0.974181118,1,0,0,0.936915888
Direct-output selector,1083,component_dropout,0.0475140647,0.00506591797,0.983747797,0.968015414,1,0,0,0.936915888
Input,1172,component_dropout,0.0750664396,0.0146484375,0.986324786,0.97301855,1,0,0,0.923222749
Validation best,1172,component_dropout,0.0750664396,0.0146484375,0.986324786,0.97301855,1,0,0,0.923222749
Action-coordinate selector,1172,component_dropout,0.0750664396,0.0146484375,0.986324786,0.97301855,1,0,0,0.923222749
Direct-output selector,1172,component_dropout,0.0754604046,0.0153320312,0.985681671,0.97176772,1,0,0,0.923222749
Input,1194,component_dropout,0.0925565491,0.0220947266,0.946322657,0.89811427,1,0,0,0.847631242
Validation best,1194,component_dropout,0.0925565491,0.0220947266,0.946322657,0.89811427,1,0,0,0.847631242
Action-coordinate selector,1194,component_dropout,0.0925565491,0.0220947266,0.946322657,0.89811427,1,0,0,0.847631242
Direct-output selector,1194,component_dropout,0.0929720885,0.0224487305,0.945460811,0.896564917,1,0,0,0.846744046
Input,1200,component_dropout,0.0696632978,0.00274658203,0.993881713,0.987837838,1,0,0,0.939434724
Validation best,1200,component_dropout,0.0696632978,0.00274658203,0.993881713,0.987837838,1,0,0,0.939434724
Action-coordinate selector,1200,component_dropout,0.0696632978,0.00274658203,0.993881713,0.987837838,1,0,0,0.939434724
Direct-output selector,1200,component_dropout,0.0703563787,0.00338134766,0.992466394,0.985047079,1,0,0,0.939148857
Input,1211,component_dropout,0.0679009965,0.00146484375,0.997646597,0.995304246,1,0,0,0.971631206
Validation best,1211,component_dropout,0.0679009965,0.00146484375,0.997646597,0.995304246,1,0,0,0.971631206
Action-coordinate selector,1211,component_dropout,0.0679009965,0.00146484375,0.997646597,0.995304246,1,0,0,0.971631206
Direct-output selector,1211,component_dropout,0.0684357058,0.00209960937,0.996627207,0.993277567,1,0,0,0.971631206
Input,1217,component_dropout,0.0854039956,0.0197143555,0.963013855,0.928666078,1,0,0,0.888297872
Validation best,1217,component_dropout,0.0854039956,0.0197143555,0.963013855,0.928666078,1,0,0,0.888297872
Action-coordinate selector,1217,component_dropout,0.0854039956,0.0197143555,0.963013855,0.928666078,1,0,0,0.888297872
Direct-output selector,1217,component_dropout,0.0859862123,0.0203125,0.961857386,0.926517747,1,0,0,0.888297872
Input,1221,component_dropout,0.0692635173,0.00476074219,0.995888245,0.991810164,1,0,0,0.967272727
Validation best,1221,component_dropout,0.0692635173,0.00476074219,0.995888245,0.991810164,1,0,0,0.967272727
Action-coordinate selector,1221,component_dropout,0.0692635173,0.00476074219,0.995888245,0.991810164,1,0,0,0.967272727
Direct-output selector,1221,component_dropout,0.0697562313,0.0056640625,0.99510812,0.990264838,1,0,0,0.964053218
Input,1237,component_dropout,0.0681922724,0.00207519531,0.997223583,0.994462541,1,0,0,0.972222222
Validation best,1237,component_dropout,0.0681922724,0.00207519531,0.997223583,0.994462541,1,0,0,0.972222222
Action-coordinate selector,1237,component_dropout,0.0681922724,0.00207519531,0.997223583,0.994462541,1,0,0,0.972222222
Direct-output selector,1237,component_dropout,0.0686774652,0.002734375,0.996340191,0.992707171,1,0,0,0.972222222
Input,1275,component_dropout,0.126274089,0.0294799805,0.865721435,0.763235294,1,0,0,0.741312741
Validation best,1275,component_dropout,0.126274089,0.0294799805,0.865721435,0.763235294,1,0,0,0.741312741
Action-coordinate selector,1275,component_dropout,0.126274089,0.0294799805,0.865721435,0.763235294,1,0,0,0.741312741
Direct-output selector,1275,component_dropout,0.127539104,0.030090332,0.862864073,0.758804878,1,0,0,0.740338902
Input,1303,component_dropout,0.0677105518,0.00134277344,0.998061674,0.996130848,1,0,0,0.977035491
Validation best,1303,component_dropout,0.0677105518,0.00134277344,0.998061674,0.996130848,1,0,0,0.977035491
Action-coordinate selector,1303,component_dropout,0.0677105518,0.00134277344,0.998061674,0.996130848,1,0,0,0.977035491
Direct-output selector,1303,component_dropout,0.0683181929,0.00212402344,0.996933196,0.993885606,1,0,0,0.97575009
