grid,pair_id,k,d_h,abs_delta,ratio_to_3d
3x3,380,0,1,0,0.0
3x3,380,1,1,0,0.0
3x3,381,0,1,0,0.0
3x3,381,1,1,0,0.0
3x3,382,0,1,0,0.0
3x3,382,1,1,0,0.0
3x3,383,0,1,0,0.0
3x3,383,1,1,0,0.0
3x3,384,0,1,0,0.0
3x3,384,1,1,0,0.0
3x3,385,0,1,1,0.3333333333333333
3x3,385,1,1,0,0.0
3x3,386,0,1,1,0.3333333333333333
3x3,386,1,1,0,0.0
3x3,387,0,1,1,0.3333333333333333
3x3,387,1,1,0,0.0
3x3,388,0,1,0,0.0
3x3,388,1,1,0,0.0
3x3,389,0,1,0,0.0
3x3,389,1,1,0,0.0
3x3,390,0,1,1,0.3333333333333333
3x3,390,1,1,0,0.0
3x3,391,0,1,0,0.0
3x3,391,1,1,0,0.0
3x3,392,0,1,1,0.3333333333333333
3x3,392,1,1,0,0.0
3x3,393,0,1,0,0.0
3x3,393,1,1,0,0.0
3x3,394,0,1,1,0.3333333333333333
3x3,394,1,1,0,0.0
3x3,395,0,1,1,0.3333333333333333
3x3,395,1,1,0,0.0
3x3,396,0,1,1,0.3333333333333333
3x3,396,1,1,0,0.0
3x3,397,0,1,1,0.3333333333333333
3x3,397,1,1,0,0.0
3x3,398,0,1,0,0.0
3x3,398,1,1,0,0.0
3x3,399,0,1,1,0.3333333333333333
3x3,399,1,1,0,0.0
3x3,400,0,1,0,0.0
3x3,400,1,1,0,0.0
3x3,401,0,1,0,0.0
3x3,401,1,1,0,0.0
3x3,402,0,1,1,0.3333333333333333
3x3,402,1,1,0,0.0
3x3,403,0,1,1,0.3333333333333333
3x3,403,1,1,0,0.0
3x3,404,0,1,0,0.0
3x3,404,1,1,0,0.0
3x3,405,0,1,0,0.0
3x3,405,1,1,0,0.0
3x3,406,0,1,1,0.3333333333333333
3x3,406,1,1,0,0.0
3x3,407,0,1,0,0.0
3x3,407,1,1,0,0.0
3x3,408,0,1,1,0.3333333333333333
3x3,408,1,1,0,0.0
3x3,409,0,1,1,0.3333333333333333
3x3,409,1,1,0,0.0
3x3,410,0,1,0,0.0
3x3,410,1,1,0,0.0
3x3,411,0,1,0,0.0
3x3,411,1,1,0,0.0
3x3,412,0,1,1,0.3333333333333333
3x3,412,1,1,0,0.0
3x3,413,0,1,1,0.3333333333333333
3x3,413,1,1,0,0.0
3x3,414,0,1,0,0.0
3x3,414,1,1,0,0.0
3x3,415,0,1,0,0.0
3x3,415,1,1,0,0.0
3x3,416,0,1,1,0.3333333333333333
3x3,416,1,1,0,0.0
3x3,417,0,1,0,0.0
3x3,417,1,1,0,0.0
3x3,418,0,1,0,0.0
