dataset,method,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact
fashion,gaussian06,pepper04,0.10617609618190199,0.011057398078320001,0.969103892021,0.943104663123,0.895,1.244,0.247
fashion,gaussian06,pepper10,0.17012603077452,0.02432653076399,0.942082941861,0.894978805484,0.972,2.264,0.095
fashion,gaussian06,salt04,0.13918908283312398,0.012826530733650001,0.9615737951109999,0.930650754881,1.28,1.203,0.161
fashion,gaussian06,salt10,0.27472359186989004,0.03608545930886,0.904777697794,0.840161906707,4.575,1.307,0.016
fashion,gaussian06,shift20,0.491624848419,0.1393826526822,0.7272110103224,0.59473021115599,11.726,6.915,0.0
fashion,gaussian10,balanced04,0.183188243890472,0.035890306200829995,0.861816989641,0.7980887475672,1.572,2.179,0.241
fashion,gaussian10,balanced10,0.19204845237110002,0.04333928583317,0.8531500755454,0.7799150558894999,1.471,2.154,0.213
fashion,gaussian10,clean,0.181347455901656,0.032735969474630006,0.865476079944,0.8061439915989,1.629,2.198,0.248
fashion,gaussian10,pepper04,0.18956930633833802,0.03595408178558,0.8547754942875,0.7919037680532,1.652,2.196,0.24
fashion,gaussian10,pepper10,0.20722143712466,0.04318750006428,0.8301453322266,0.7599304252659,1.701,2.185,0.22
fashion,gaussian10,salt04,0.17927251282279,0.03395280617121,0.8697609192758,0.8081256818793,1.578,2.197,0.252
fashion,gaussian10,salt10,0.18019909473323,0.037533163289870004,0.8764488460144,0.8101582431431,1.493,2.196,0.225
fashion,gaussian10,shift20,0.2690365160959,0.06815816319693001,0.8103223348963,0.7148081874107001,1.829,2.152,0.074
fashion,median3,balanced04,0.18980027358943,0.04333035721173,0.8463436674946,0.7757070766073,1.505,2.114,0.236
fashion,median3,balanced10,0.21132857414689998,0.05444260198445,0.8308655060262999,0.7481776656232999,1.453,2.057,0.191
fashion,median3,clean,0.185916610397025,0.03845535728621,0.8539838004985001,0.7890518127667,1.567,2.159,0.245
fashion,median3,pepper04,0.19372910531772,0.0424515307062,0.8427850735099001,0.7735336754108,1.584,2.126,0.235
fashion,median3,pepper10,0.21574922947541,0.05112500001741,0.8168890760699,0.7392944167000001,1.644,2.131,0.212
fashion,median3,salt04,0.18639625229167,0.04116964297593,0.8535940269083,0.7853286925701,1.483,2.151,0.241
fashion,median3,salt10,0.19571907154587,0.04756505098763,0.853532215386,0.7782434213452,1.392,2.131,0.204
fashion,median3,shift20,0.3362255118059,0.0863035713151,0.7751923264365,0.6693216837269,2.866,2.228,0.032
fashion,median5,balanced04,0.24626168182041,0.0688150509639,0.7417945901844,0.66470697250133,1.86,2.287,0.232
fashion,median5,balanced10,0.25745925996990005,0.07538647964806999,0.733059736809,0.6494948261632,1.863,2.291,0.21
fashion,median5,clean,0.24548362036593,0.0654426020335,0.7451074930255001,0.6718987554515999,1.894,2.3,0.23
fashion,median5,pepper04,0.25209367394936,0.0696683671854,0.7331204567927,0.6569167187947,1.913,2.303,0.228
fashion,median5,pepper10,0.2707069543935,0.07988392841897,0.7048176840739,0.6213722838818599,1.978,2.292,0.213
fashion,median5,salt04,0.24340790108457,0.06636352036856999,0.7504967727021,0.6750079431306,1.863,2.308,0.229
fashion,median5,salt10,0.23929008481507,0.06941964285438,0.7607495872064,0.6798885114955,1.772,2.325,0.232
fashion,median5,shift20,0.27337426291510003,0.09075510188297,0.7189222057340999,0.6204209186816,1.756,2.259,0.176
mnist,Classical best,balanced04,0.0338420218903,0.01013137765038,0.960234443843,0.924288962849,0.044,0.143,0.843
mnist,Classical best,balanced10,0.08111975955530001,0.02761989807593,0.894671265801,0.811776169074,0.171,0.188,0.706
mnist,Classical best,clean,0.011421573527,0.00058163266209,0.997744025525,0.995679494974,0.024,0.112,0.888
mnist,Classical best,pepper04,0.0257054423713,0.0055676020911400005,0.977402338435,0.956291222197,0.063,0.124,0.846
mnist,Classical best,pepper10,0.04761268322955,0.011701530719660002,0.951938105208,0.90937413328,0.134,0.166,0.754
mnist,Classical best,salt04,0.02526889717449,0.00741071436031,0.971593829397,0.9452927739010001,0.03,0.124,0.871
mnist,Classical best,salt10,0.05466138746206,0.01991581647481,0.927527058407,0.866239305737,0.075,0.152,0.807
mnist,Classical best,shift20,0.3056093329496,0.0901352039906,0.7043037941520001,0.549940782936,1.752,0.335,0.12
mnist,Conditional mean mask,balanced04,0.033767050335039996,0.010230357131768,0.9596546955854,0.9233325776934,0.042,0.1424,0.844
mnist,Conditional mean mask,balanced10,0.07735023929451999,0.02814515306354,0.8898374544634,0.8056010934764001,0.11120000000000001,0.1928,0.7516
mnist,Conditional mean mask,clean,0.0087814288034,0.000432653061036,0.9981098973770001,0.9964194140132,0.026600000000000002,0.08159999999999999,0.9132
mnist,Conditional mean mask,pepper04,0.024050662708778,0.005564795915379999,0.9769495507056,0.9556362291286,0.065,0.1024,0.8616
mnist,Conditional mean mask,pepper10,0.04488811160959,0.011957397948688,0.9499674675502,0.9063655741726,0.114,0.1468,0.7807999999999999
mnist,Conditional mean mask,salt04,0.025631534266862002,0.007460459175764,0.9713125843902,0.9448242460402,0.037399999999999996,0.1212,0.8707999999999999
mnist,Conditional mean mask,salt10,0.049843007002294,0.018780612250052,0.930666598145,0.8718611787596,0.045399999999999996,0.151,0.8373999999999999
mnist,Conditional mean mask,shift20,0.22658878820269998,0.07921913265700001,0.7313816434204,0.5821020858297999,0.8164,0.32980000000000004,0.3892
mnist,Conditional sampled,balanced04,0.034302000393866064,0.01035994444254801,0.9588694360598,0.9222462818648001,0.045125416083354894,0.14223608056163523,0.8433875955204516
mnist,Conditional sampled,balanced10,0.07806839225032,0.028274419958818,0.8892684647820001,0.8049422084993999,0.11039278570788712,0.19889287633770944,0.7452893213036761
mnist,Conditional sampled,clean,0.009036973133073719,0.0005425134820487665,0.9975439202688,0.9955392072346,0.028383448718054594,0.08007916888349692,0.9123226112556256
mnist,Conditional sampled,pepper04,0.024190793197016294,0.005660248329327918,0.9762972316196,0.9547747927665999,0.06367970842944534,0.10204645340542266,0.8641694349248665
mnist,Conditional sampled,pepper10,0.046223065989244,0.012036523143434,0.949373953329,0.9055646313237999,0.1189336140818488,0.15111482262620093,0.7742917623046581
mnist,Conditional sampled,salt04,0.025908553807751162,0.0075379868066725135,0.9708593283,0.9440923811256,0.03975133785675982,0.1195085134525907,0.8689213181859934
mnist,Conditional sampled,salt10,0.051241702632298,0.018984483014892,0.9299639714068001,0.8707056442246,0.05437718686766881,0.15350154785636852,0.8260619561210923
mnist,Conditional sampled,shift20,0.23126210476004,0.08006752758154001,0.727823423781,0.5783378787248,0.8680462817041739,0.33492056937852915,0.3785261899496832
mnist,Conditional selector,balanced04,0.033904079179405994,0.010244387857397999,0.9595441390998,0.923219596548,0.043,0.1424,0.8453999999999999
mnist,Conditional selector,balanced10,0.07745639752212,0.028411989913412,0.88838881224,0.8035395610975999,0.10579999999999999,0.19319999999999998,0.7547999999999999
mnist,Conditional selector,clean,0.00862360703066,0.00039872449522800003,0.9982141542892,0.9966177084086001,0.0254,0.08120000000000001,0.9142
mnist,Conditional selector,pepper04,0.023952906298244,0.005556632702954,0.9770365271708,0.9557824060314,0.06459999999999999,0.102,0.8623999999999999
mnist,Conditional selector,pepper10,0.044780096675297996,0.011942347049262,0.950056646222,0.90649068451,0.1134,0.1456,0.7816000000000001
mnist,Conditional selector,salt04,0.025518753461106,0.007452806198218,0.9712973775179999,0.9448246528600001,0.035,0.1212,0.871
mnist,Conditional selector,salt10,0.050881998040356,0.01891734709388,0.9301774875568,0.8710855680288,0.0546,0.15,0.8286
mnist,Conditional selector,shift20,0.22339045319532,0.07905229583078,0.729910730979,0.5806959124666,0.7772,0.32980000000000004,0.4106
mnist,Exact gate sampled,balanced04,0.03729310798357762,0.011022952119268155,0.95601053657712,0.918165441948916,0.08753078597743275,0.12960430549792937,0.8393932533435013
mnist,Exact gate sampled,balanced10,0.07976889388054001,0.028489242299314,0.8896737693542178,0.8050051301834928,0.12780005015683418,0.20879665382398704,0.7315112958089408
mnist,Exact gate sampled,clean,0.0063718071695926136,0.00027714221453133337,0.9980304835697285,0.9970320793380067,0.024587742744197748,0.05467900278799407,0.9362086769531205
mnist,Exact gate sampled,pepper04,0.022714678512828313,0.0056448292214367,0.9750148716093263,0.9535990387820881,0.061726758188941314,0.07921946202274106,0.8831181826401094
mnist,Exact gate sampled,pepper10,0.04606134542185,0.012299313892701998,0.9465368269534976,0.9021203437592583,0.11351893893697365,0.13807118357976514,0.7860483327504766
mnist,Exact gate sampled,salt04,0.028788764874271032,0.007971359785451037,0.96855701459376,0.94102452183314,0.08448123530547183,0.10331377457510935,0.8595610613113486
mnist,Exact gate sampled,salt10,0.0515643528873274,0.0187961600758128,0.9302098107444,0.8716295760320001,0.06812099983018534,0.1503432667808999,0.8246140410756578
mnist,Exact gate sampled,shift20,0.21535640923056,0.0771415423536,0.7268993325117538,0.5791075834890552,0.6485739459467275,0.349339283010027,0.41837216914725306
mnist,Exact softmax gate,balanced04,0.035296601203672,0.010663265406316,0.9575839395138,0.9201478313534,0.06180000000000001,0.1268,0.8466
mnist,Exact softmax gate,balanced10,0.07903245300866,0.02829209195072,0.8903911055396,0.8058714035286,0.1178,0.207,0.7336
mnist,Exact softmax gate,clean,0.006303055281092,0.000249234692798,0.9980707888703999,0.9971310555845999,0.024399999999999998,0.0544,0.9368
mnist,Exact softmax gate,pepper04,0.022356936448100002,0.005551275555642001,0.9753871066194,0.9541642196505999,0.059,0.07840000000000001,0.8842000000000001
mnist,Exact softmax gate,pepper10,0.045362367499052,0.012196683774084,0.9471636134904,0.9028952604070001,0.1098,0.1358,0.7888
mnist,Exact softmax gate,salt04,0.02708283368563,0.007667091914396,0.9698902719564001,0.9427322694994,0.06420000000000001,0.099,0.8666
mnist,Exact softmax gate,salt10,0.050637649516761994,0.018643112396114,0.9306843368758,0.8721749160796001,0.0568,0.14780000000000001,0.8288
mnist,Exact softmax gate,shift20,0.21449763100914002,0.07710357139363999,0.7278819958098,0.5801104953842601,0.6416000000000001,0.3476,0.42040000000000005
mnist,Input,balanced04,0.38935047286,0.040051020468099996,0.8538326614039999,0.748384179828,19.725,1.512,0.0
mnist,Input,balanced10,0.515483427599,0.099804846977,0.691860522659,0.5343582970840001,37.819,3.325,0.0
mnist,Input,clean,0.0,0.0,1.0,1.0,0.0,0.0,1.0
mnist,Input,pepper04,0.33783349353659997,0.014293367479440001,0.942978426854,0.893057130587,5.765,1.33,0.0
mnist,Input,pepper10,0.38693926422700003,0.02201913281901,0.912461408007,0.840061222907,5.802,2.637,0.0
mnist,Input,salt04,0.32070544903500003,0.0359145408703,0.869026981358,0.771922703176,19.603,0.511,0.0
mnist,Input,salt10,0.42328434935399994,0.0874834182656,0.735714170805,0.588232651078,37.276,0.952,0.0
mnist,Input,shift20,0.633292709943,0.200022958846,0.504029706281,0.34158798324600004,44.38,6.758,0.0
mnist,Learned local filter,balanced04,0.04161254638096,0.00824744896888,0.965251882341,0.933925448088,0.152,0.132,0.766
